"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"ARARAQUARA",12,"2023-05-31","covid","Previsto",2023-05-26,0.90025,0.2,0,0.70025,1,1,1
"ARARAQUARA",12,"2023-06-06","covid","Previsto",2023-06-06,0.75025,0.2,0,0.55025,1,1,1
"ARARAQUARA",12,"2023-06-14","covid","Previsto",2023-06-07,0.66,0.2,0,0.46,1,1,1
"ARARAQUARA",12,"2023-06-20","covid","Previsto",2023-06-07,0.64,0.2,0,0.44,1,1,1
"ARARAQUARA",12,"2023-07-06","covid","Previsto",2023-07-04,2.1715,0,0,2.1715,0,1,1
"ARARAQUARA",12,"2023-07-19","covid","Previsto",2023-07-15,0.72,0,0,0.72,0,1,1
"ARARAQUARA",12,"2023-07-25","covid","Previsto",2023-07-22,1.91025,0.4,0,1.51025,2,1,1
"ARARAQUARA",12,"2023-08-02","covid","Previsto",2023-07-28,1.11025,0.4,0,0.71025,2,1,1
"ARARAQUARA",12,"2023-08-08","covid","Previsto",2023-08-05,0.86,0.2,0,0.66,1,1,1
"ARARAQUARA",12,"2023-08-16","covid","Previsto",2023-08-15,1.85,0,1.2,0.65,4,0,1
"ARARAQUARA",12,"2023-08-23","covid","Previsto",2023-08-15,1.86025,0,1.2,0.66025,4,0,1
"ARARAQUARA",12,"2023-08-30","covid","Previsto",2023-08-30,1.3105,0,0.2,1.1105,1,1,1
"ARARAQUARA",12,"2023-09-06","covid","Previsto",2023-09-05,1.32,0.2,0,1.12,1,1,1
"ARARAQUARA",12,"2023-09-19","covid","Previsto",2023-09-19,4.25,0,3.6,0.65,8,0,1
"ARARAQUARA",12,"2023-09-27","covid","Previsto",2023-09-27,2.9205,0,0.2,2.7205,1,1,1
"ARARAQUARA",12,"2023-10-06","covid","Previsto",2023-10-05,7.10025,4.4,0,2.70025,12,0,1
"ARARAQUARA",10,"2023-10-11","covid","Previsto",2023-10-11,2.61025,0,1,1.61025,5,1,1
"ARARAQUARA",12,"2023-10-18","covid","Previsto",2023-10-10,4.7305,2.6,0,2.1305,9,0,1
"ARARAQUARA",12,"2023-10-20","covid","Previsto",2023-10-20,2.51,0,1.6,0.91,6,0,1
"ARARAQUARA",12,"2023-10-25","covid","Previsto",2023-10-24,1.61,0,0.6,1.01,3,1,1
"ARARAQUARA",12,"2023-11-01","covid","Previsto",2023-11-01,1.16,0.2,0,0.96,1,1,1
"ARARAQUARA",12,"2023-11-08","covid","Previsto",2023-11-08,2.14,0,1.6,0.54,4,0,1
"ARARAQUARA",12,"2023-11-13","covid","Previsto",2023-11-10,1.61,0,0.8,0.81,4,1,1
"ARARAQUARA",12,"2023-11-29","covid","Previsto",2023-11-28,1.04,0.4,0,0.64,2,1,1
"ARARAQUARA",12,"2023-12-06","covid","Previsto",2023-11-28,1.55025,1,0,0.55025,3,0,1
"ARARAQUARA",12,"2023-12-13","covid","Previsto",2023-12-13,1.66,0,1.4,0.26,3,0,1
"ARARAQUARA",12,"2023-12-20","covid","Previsto",2023-12-13,0.81,0,0.4,0.41,2,1,1
"ARARAQUARA",12,"2023-12-27","covid","Previsto",2023-12-14,1.09,0,0.8,0.29,2,0,1
