"","virus","tipo","widow","DRS","n","cob50","cob95","WIS","dispersao","subprev","superprev","MAE"
"1","covid","com_atraso",10,"ARARAQUARA",60,38.3,88.3,1.2,0.3,0.8,0,2
"2","covid","com_atraso",10,"ARAÇATUBA",60,65,96.7,0.9,0.4,0.2,0,1
"3","covid","com_atraso",10,"BAIXADA SANTISTA",60,41.7,88.3,1.4,0.4,0.6,0,2.5
"4","covid","com_atraso",10,"BARRETOS",60,78.3,98.3,0.6,0.4,0,0.1,1
"5","covid","com_atraso",10,"BAURU",60,25,83.3,2.6,0.4,1.6,0,5
"6","covid","com_atraso",10,"CAMPINAS",60,13.3,41.7,9.2,0.8,6.8,0,11
"7","covid","com_atraso",10,"FRANCA",60,71.7,96.7,0.6,0.4,0,0,1
"8","covid","com_atraso",10,"GRANDE SÃO PAULO",60,1.7,21.7,29.3,1.2,28.5,0,37.5
"9","covid","com_atraso",10,"MARÍLIA",60,36.7,86.7,2,0.4,1.5,0,4
"10","covid","com_atraso",10,"PIRACICABA",60,53.3,90,1.1,0.4,0.6,0,2
"11","covid","com_atraso",10,"PRESIDENTE PRUDENTE",60,58.3,96.7,1.2,0.4,0.2,0,1
"12","covid","com_atraso",10,"REGISTRO",60,58.3,98.3,1.2,0.7,0,0.2,1
"13","covid","com_atraso",10,"RIBEIRÃO PRETO",60,38.3,86.7,2.2,0.5,1.6,0,4
"14","covid","com_atraso",10,"SOROCABA",60,33.3,73.3,2.2,0.4,1.4,0,4.5
"15","covid","com_atraso",10,"SÃO JOSÉ DO RIO PRETO",60,33.3,68.3,4.6,0.7,3.7,0,7.5
"16","covid","com_atraso",10,"SÃO JOÃO DA BOA VISTA",60,65,98.3,0.8,0.4,0.2,0,1
"17","covid","com_atraso",10,"TAUBATÉ",60,15,43.3,7,0.4,6.4,0,10
"18","covid","corte 3 semanas",10,"ARARAQUARA",60,65,98.3,2.7,1.6,0.2,0,2
"19","covid","corte 3 semanas",10,"ARAÇATUBA",60,73.3,100,2.3,1.5,0.2,0,2
"20","covid","corte 3 semanas",10,"BAIXADA SANTISTA",60,58.3,98.3,3.7,1.7,0.3,0,2.5
"21","covid","corte 3 semanas",10,"BARRETOS",60,68.3,100,2.3,1.7,0,0,1.8
"22","covid","corte 3 semanas",10,"BAURU",60,51.7,100,3.9,1.8,0.9,0,4
"23","covid","corte 3 semanas",10,"CAMPINAS",60,35,85,13.3,2.2,4.3,0,13.5
"24","covid","corte 3 semanas",10,"FRANCA",60,73.3,100,2.3,1.7,0,0,2
"25","covid","corte 3 semanas",10,"GRANDE SÃO PAULO",60,16.7,80,33.8,2.9,14.4,0,32.5
"26","covid","corte 3 semanas",10,"MARÍLIA",60,58.3,100,3.6,2.2,0.2,0,3
"27","covid","corte 3 semanas",10,"PIRACICABA",60,61.7,100,3.5,1.6,0.2,0,3
"28","covid","corte 3 semanas",10,"PRESIDENTE PRUDENTE",60,68.3,100,2.7,1.7,0,0,2.5
"29","covid","corte 3 semanas",10,"REGISTRO",60,68.3,98.3,6.4,5.1,0,0.4,2
"30","covid","corte 3 semanas",10,"RIBEIRÃO PRETO",60,58.3,100,4.7,2.2,0.3,0,4
"31","covid","corte 3 semanas",10,"SOROCABA",60,60,96.7,3.9,1.9,0.6,0,4
"32","covid","corte 3 semanas",10,"SÃO JOSÉ DO RIO PRETO",60,51.7,96.7,6.3,1.9,0.8,0,7
"33","covid","corte 3 semanas",10,"SÃO JOÃO DA BOA VISTA",60,63.3,100,2.3,1.7,0,0,2
"34","covid","corte 3 semanas",10,"TAUBATÉ",60,30,91.7,7.1,2,3.2,0,10
"35","covid","mediana",10,"ARARAQUARA",60,50,98.3,1.6,0.6,0.1,0,3
"36","covid","mediana",10,"ARAÇATUBA",60,66.7,98.3,1.3,0.8,0,0,2
"37","covid","mediana",10,"BAIXADA SANTISTA",60,51.7,95,1.7,0.8,0,0,3
"38","covid","mediana",10,"BARRETOS",60,40,91.7,1.8,0.7,0,0.4,3
"39","covid","mediana",10,"BAURU",60,45,98.3,2.6,0.9,0.5,0,4
"40","covid","mediana",10,"CAMPINAS",60,30,83.3,6.1,1.4,4.3,0,11
"41","covid","mediana",10,"FRANCA",60,50,91.7,1.2,0.7,0,0,1
"42","covid","mediana",10,"GRANDE SÃO PAULO",60,23.3,78.3,15.3,3.4,6.5,0,28.8
"43","covid","mediana",10,"MARÍLIA",60,48.3,93.3,2.4,1,0,0,3.8
"44","covid","mediana",10,"PIRACICABA",60,35,85,2.3,0.7,0,0,4
"45","covid","mediana",10,"PRESIDENTE PRUDENTE",60,45,91.7,1.7,0.8,0,0.2,3
