"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-03-22,28,13,57,22,35,27,2023-05-31,1,"8 ou 10","srag","mediana"
2,2023-03-29,29,14,52,23,35,26,2023-05-31,1,"8 ou 10","srag","mediana"
3,2023-04-05,30,15,50,24,36,39,2023-05-31,1,"8 ou 10","srag","mediana"
4,2023-04-12,26,12,45,21,32,22,2023-05-31,1,"8 ou 10","srag","mediana"
5,2023-04-19,25,11,43,20,30,23,2023-05-31,1,"8 ou 10","srag","mediana"
6,2023-04-26,22,9,39,17,27,22,2023-05-31,1,"8 ou 10","srag","mediana"
7,2023-05-03,19,8,34,15,23,23,2023-05-31,1,"8 ou 10","srag","mediana"
8,2023-05-10,16,7,29.025,12,20,16,2023-05-31,1,"8 ou 10","srag","mediana"
9,2023-05-17,13,5,25,10,16,14,2023-05-31,1,"8 ou 10","srag","mediana"
10,2023-05-24,10,3,20,7,13,8,2023-05-31,1,"8 ou 10","srag","mediana"
11,2023-05-24,8,2,19,5,11,8,2023-05-31,1,"8 ou 10","srag","mediana"
12,2023-05-31,6,1,19,4,9,NA,2023-05-31,1,"8 ou 10","srag","mediana"
1,2023-03-21,5,0,14,3,7,4,2023-05-31,1,"8 ou 10","covid","mediana"
2,2023-03-28,4,0,12,3,6,4,2023-05-31,1,"8 ou 10","covid","mediana"
3,2023-04-04,4,0,12,3,6,7,2023-05-31,1,"8 ou 10","covid","mediana"
4,2023-04-11,3,0,9,2,5,4,2023-05-31,1,"8 ou 10","covid","mediana"
5,2023-04-18,3,0,8,1,4,3,2023-05-31,1,"8 ou 10","covid","mediana"
6,2023-04-25,2,0,7,1,3,1,2023-05-31,1,"8 ou 10","covid","mediana"
7,2023-05-02,2,0,7,1,3,1,2023-05-31,1,"8 ou 10","covid","mediana"
8,2023-05-09,2,0,6,1,3,2,2023-05-31,1,"8 ou 10","covid","mediana"
9,2023-05-16,2,0,7,1,3,2,2023-05-31,1,"8 ou 10","covid","mediana"
10,2023-05-23,2,0,7,1,3,3,2023-05-31,1,"8 ou 10","covid","mediana"
11,2023-05-23,2,0,9,1,4,3,2023-05-31,1,"8 ou 10","covid","mediana"
12,2023-05-30,3,0,17.025,1,5,NA,2023-05-31,1,"8 ou 10","covid","mediana"
1,2023-03-22,31,15.975,54,25,37,31,2023-05-31,2,"8 ou 10","srag","mediana"
2,2023-03-29,27.5,14,46.025,22,33,31,2023-05-31,2,"8 ou 10","srag","mediana"
3,2023-04-05,24,12,41,20,29,22,2023-05-31,2,"8 ou 10","srag","mediana"
4,2023-04-12,23,10.975,39,18,27,22,2023-05-31,2,"8 ou 10","srag","mediana"
5,2023-04-19,20,10,35,16.75,25,21,2023-05-31,2,"8 ou 10","srag","mediana"
6,2023-04-26,19,9,33,15,24,23,2023-05-31,2,"8 ou 10","srag","mediana"
7,2023-05-03,18,8,30.025,14,21,13,2023-05-31,2,"8 ou 10","srag","mediana"
8,2023-05-10,17,7,29,14,21,20,2023-05-31,2,"8 ou 10","srag","mediana"
9,2023-05-17,16,7,29,13,20,17,2023-05-31,2,"8 ou 10","srag","mediana"
10,2023-05-24,16,7,27,12,19,15,2023-05-31,2,"8 ou 10","srag","mediana"
11,2023-05-24,15,5.975,29.025,11,19,15,2023-05-31,2,"8 ou 10","srag","mediana"
12,2023-05-31,14,4,35,10,20,NA,2023-05-31,2,"8 ou 10","srag","mediana"
1,2023-03-17,8,1,23,5,12,10,2023-05-31,2,"8 ou 10","covid","mediana"
2,2023-03-24,6,1,16,4,8,8,2023-05-31,2,"8 ou 10","covid","mediana"
3,2023-03-31,4,0,12,3,6,2,2023-05-31,2,"8 ou 10","covid","mediana"
4,2023-04-07,4,0,11,2,6,2,2023-05-31,2,"8 ou 10","covid","mediana"
5,2023-04-14,4,0,11,2,6,4,2023-05-31,2,"8 ou 10","covid","mediana"
6,2023-04-21,4,0,11,2,6,5,2023-05-31,2,"8 ou 10","covid","mediana"
7,2023-04-28,4,0,12,2,6,7,2023-05-31,2,"8 ou 10","covid","mediana"
8,2023-05-05,4,0,11,2,5.25,2,2023-05-31,2,"8 ou 10","covid","mediana"
9,2023-05-12,4,0,11,2,5,5,2023-05-31,2,"8 ou 10","covid","mediana"
10,2023-05-19,3,0,10,2,5,3,2023-05-31,2,"8 ou 10","covid","mediana"
11,2023-05-19,3,0,11,2,5,3,2023-05-31,2,"8 ou 10","covid","mediana"
12,2023-05-26,3,0,17,1,5,NA,2023-05-31,2,"8 ou 10","covid","mediana"
1,2023-03-22,55,31.975,91,47,64,50,2023-05-31,3,"8 ou 10","srag","mediana"
2,2023-03-29,59,36.975,89,51,67,61,2023-05-31,3,"8 ou 10","srag","mediana"
3,2023-04-05,61,36.975,90.025,53,70,66,2023-05-31,3,"8 ou 10","srag","mediana"
4,2023-04-12,57.5,36,88,49.75,66,59,2023-05-31,3,"8 ou 10","srag","mediana"
5,2023-04-19,51,30,79,44.75,59,57,2023-05-31,3,"8 ou 10","srag","mediana"
6,2023-04-26,44.5,25,68.025,38,52,39,2023-05-31,3,"8 ou 10","srag","mediana"
7,2023-05-03,39,22.975,62,33,47,37,2023-05-31,3,"8 ou 10","srag","mediana"
8,2023-05-10,37,22,56,32,43,37,2023-05-31,3,"8 ou 10","srag","mediana"
9,2023-05-17,35,20,54,30,41,38,2023-05-31,3,"8 ou 10","srag","mediana"
10,2023-05-24,34,19,53,29,40,33,2023-05-31,3,"8 ou 10","srag","mediana"
11,2023-05-24,32,17,54.025,27,38,33,2023-05-31,3,"8 ou 10","srag","mediana"
12,2023-05-31,30,12,63.025,23,39,NA,2023-05-31,3,"8 ou 10","srag","mediana"
1,2023-03-22,10,2,27,7,14,8,2023-05-31,3,"8 ou 10","covid","mediana"
2,2023-03-29,10,3,22.025,7,13,12,2023-05-31,3,"8 ou 10","covid","mediana"
3,2023-04-05,9,2,23,6,12,10,2023-05-31,3,"8 ou 10","covid","mediana"
4,2023-04-12,8,2,18,6,10,8,2023-05-31,3,"8 ou 10","covid","mediana"
5,2023-04-19,6,1,16,4,9,7,2023-05-31,3,"8 ou 10","covid","mediana"
6,2023-04-26,4,0,12,3,6,7,2023-05-31,3,"8 ou 10","covid","mediana"
7,2023-05-03,3,0,9,2,5,0,2023-05-31,3,"8 ou 10","covid","mediana"
8,2023-05-10,2,0,8,1,4,3,2023-05-31,3,"8 ou 10","covid","mediana"
9,2023-05-17,2,0,7,1,3,2,2023-05-31,3,"8 ou 10","covid","mediana"
10,2023-05-24,2,0,6,1,3,2,2023-05-31,3,"8 ou 10","covid","mediana"
11,2023-05-24,1,0,7,1,3,2,2023-05-31,3,"8 ou 10","covid","mediana"
12,2023-05-31,1,0,10,0,3,NA,2023-05-31,3,"8 ou 10","covid","mediana"
1,2023-03-20,11,3,23,8,14,12,2023-05-31,4,"8 ou 10","srag","mediana"
2,2023-03-27,9,3,18,6.75,12,9,2023-05-31,4,"8 ou 10","srag","mediana"
