"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-06-13,1,0,5,0,2,1,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
2,2023-06-20,1,0,5,0,2,1,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
3,2023-06-27,1,0,5,1,3,2,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
4,2023-07-04,2,0,6,1,3,2,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
5,2023-07-11,2,0,6,1,3,3,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
6,2023-07-18,2,0,7,1,4,3,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
7,2023-07-25,3,0,7.02499999999998,1,4,1,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
8,2023-08-01,3,0,9,2,5,3,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
9,2023-08-08,3,0,9,2,5,4,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
10,2023-08-15,4,0,10,2,6,7,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
11,2023-08-22,4,0,12,2,6,2,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
12,2023-08-29,4,0,15,2,7,NA,2023-09-06,"ARAÇATUBA","10","covid","com_atraso"
1,2023-06-13,2,0,8,1,3,2,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
2,2023-06-20,2,0,7,1,4,3,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
3,2023-06-27,2,0,6,1,3,1,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
4,2023-07-04,2,0,7,1,3,4,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
5,2023-07-11,2,0,7,1,3,3,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
6,2023-07-18,2,0,7,1,3,1,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
7,2023-07-25,2,0,7,1,3.25,1,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
8,2023-08-01,2,0,7.02499999999998,1,4,1,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
9,2023-08-08,3,0,9,2,4,5,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
10,2023-08-15,3,0,10,2,5,5,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
11,2023-08-22,4,0,12.025,2,6,3,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
12,2023-08-29,4,0,18,2,7,NA,2023-09-06,"ARARAQUARA","10","covid","com_atraso"
1,2023-06-13,1,0,7,0,3,1,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
2,2023-06-20,2,0,7,1,3,3,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
3,2023-06-27,2,0,8,1,3,2,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
4,2023-07-04,2,0,8,1,4,2,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
5,2023-07-11,3,0,10,2,5,1,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
6,2023-07-18,4,0,12,3,6,7,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
7,2023-07-25,6,0,15,3,8,7,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
8,2023-08-01,6,0.975000000000001,16,4,9,5,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
9,2023-08-08,5,0,14.025,3,8,10,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
10,2023-08-15,3,0,11,2,5,2,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
11,2023-08-22,2,0,11,1,4,1,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
12,2023-08-29,1,0,14,0,3,NA,2023-09-06,"BAIXADA SANTISTA","10","covid","com_atraso"
1,2023-06-20,1,0,5.02499999999998,0,2,2,2023-09-06,"BARRETOS","10","covid","com_atraso"
2,2023-06-27,1,0,5,0,2,1,2023-09-06,"BARRETOS","10","covid","com_atraso"
3,2023-07-04,1,0,5,0,2,NA,2023-09-06,"BARRETOS","10","covid","com_atraso"
4,2023-07-11,1,0,5,0.75,2,1,2023-09-06,"BARRETOS","10","covid","com_atraso"
5,2023-07-18,1,0,6,1,3,1,2023-09-06,"BARRETOS","10","covid","com_atraso"
6,2023-07-25,2,0,6,1,3,2,2023-09-06,"BARRETOS","10","covid","com_atraso"
7,2023-08-01,2,0,7,1,4,3,2023-09-06,"BARRETOS","10","covid","com_atraso"
8,2023-08-08,3,0,8,2,4,4,2023-09-06,"BARRETOS","10","covid","com_atraso"
9,2023-08-15,3,0,9,2,5,5,2023-09-06,"BARRETOS","10","covid","com_atraso"
10,2023-08-22,3,0,11,2,5,2,2023-09-06,"BARRETOS","10","covid","com_atraso"
11,2023-08-29,4,0,18,2,6,NA,2023-09-06,"BARRETOS","10","covid","com_atraso"
1,2023-06-13,7,0,20.025,4,10,8,2023-09-06,"BAURU","10","covid","com_atraso"
2,2023-06-20,5,0,17,3,7.25,7,2023-09-06,"BAURU","10","covid","com_atraso"
3,2023-06-27,4,0,14,2,6,2,2023-09-06,"BAURU","10","covid","com_atraso"
4,2023-07-04,3,0,16,2,6,1,2023-09-06,"BAURU","10","covid","com_atraso"
5,2023-07-11,4,0,16,2,7,NA,2023-09-06,"BAURU","10","covid","com_atraso"
6,2023-07-18,6,0,19.025,4,9,7,2023-09-06,"BAURU","10","covid","com_atraso"
7,2023-07-25,9,1,21,5,12,15,2023-09-06,"BAURU","10","covid","com_atraso"
8,2023-08-01,7,0,19.025,4,10,5,2023-09-06,"BAURU","10","covid","com_atraso"
9,2023-08-08,6,1,18.025,4,9,9,2023-09-06,"BAURU","10","covid","com_atraso"
10,2023-08-15,4,0,16.025,2,6,2,2023-09-06,"BAURU","10","covid","com_atraso"
11,2023-08-22,4,0,17,2,7,4,2023-09-06,"BAURU","10","covid","com_atraso"
12,2023-08-29,3,0,27,1,7,NA,2023-09-06,"BAURU","10","covid","com_atraso"
1,2023-06-14,14,6,26,10.75,17,14,2023-09-06,"CAMPINAS","10","covid","com_atraso"
2,2023-06-21,13,6,24,10,16,16,2023-09-06,"CAMPINAS","10","covid","com_atraso"
3,2023-06-28,12,5,22,9,15,10,2023-09-06,"CAMPINAS","10","covid","com_atraso"
4,2023-07-05,12,5,23,9,15,10,2023-09-06,"CAMPINAS","10","covid","com_atraso"
5,2023-07-12,12,5,22,9,15,13,2023-09-06,"CAMPINAS","10","covid","com_atraso"
6,2023-07-19,12,6,21,9,15,12,2023-09-06,"CAMPINAS","10","covid","com_atraso"
7,2023-07-26,12,5,21,9,15,13,2023-09-06,"CAMPINAS","10","covid","com_atraso"
8,2023-08-02,12,5,20,9,14,12,2023-09-06,"CAMPINAS","10","covid","com_atraso"
9,2023-08-09,11,5,20,9,14,12,2023-09-06,"CAMPINAS","10","covid","com_atraso"
10,2023-08-16,11,4,20,8,13,14,2023-09-06,"CAMPINAS","10","covid","com_atraso"
11,2023-08-23,10,3,19.025,7,13,7,2023-09-06,"CAMPINAS","10","covid","com_atraso"
12,2023-08-30,9,2,21.025,6,13,NA,2023-09-06,"CAMPINAS","10","covid","com_atraso"
1,2023-06-17,2,0,8,1,4,3,2023-09-06,"FRANCA","10","covid","com_atraso"
2,2023-06-24,2,0,7,1,3,NA,2023-09-06,"FRANCA","10","covid","com_atraso"
3,2023-07-01,2,0,7,1,3,1,2023-09-06,"FRANCA","10","covid","com_atraso"
4,2023-07-08,2,0,6,1,3,3,2023-09-06,"FRANCA","10","covid","com_atraso"
5,2023-07-15,2,0,6,1,3,1,2023-09-06,"FRANCA","10","covid","com_atraso"
6,2023-07-22,2,0,5,1,3,2,2023-09-06,"FRANCA","10","covid","com_atraso"
7,2023-07-29,2,0,6,1,3,2,2023-09-06,"FRANCA","10","covid","com_atraso"
8,2023-08-05,1,0,5,1,3,1,2023-09-06,"FRANCA","10","covid","com_atraso"
9,2023-08-12,2,0,6,1,3,2,2023-09-06,"FRANCA","10","covid","com_atraso"
10,2023-08-19,2,0,6,1,3,2,2023-09-06,"FRANCA","10","covid","com_atraso"
11,2023-08-26,2,0,8,1,3,2,2023-09-06,"FRANCA","10","covid","com_atraso"
12,2023-09-02,2,0,9,1,3,NA,2023-09-06,"FRANCA","10","covid","com_atraso"
1,2023-06-28,18,9,33,15,22,20,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
2,2023-07-05,21,11,35,17,25,20,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
3,2023-07-12,23,13,37.025,19,27,24,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
4,2023-07-19,26,14.975,40,22,31,21,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
5,2023-07-26,31,17,45.025,26,36,34,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
6,2023-08-02,35,21,54,30,40,38,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
7,2023-08-09,38,22,58,32,44,38,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
8,2023-08-16,41,24.975,58.025,35,47,47,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
9,2023-08-23,42,24,64.025,35,49,36,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
10,2023-08-30,44,18,80,35,55,NA,2023-09-06,"GRANDE SÃO PAULO","10","covid","com_atraso"
1,2023-06-14,3,0,11,2,5,4,2023-09-06,"MARÍLIA","10","covid","com_atraso"
2,2023-06-21,3,0,9,2,5,2,2023-09-06,"MARÍLIA","10","covid","com_atraso"
3,2023-06-28,4,0,10,2,5,4,2023-09-06,"MARÍLIA","10","covid","com_atraso"
4,2023-07-05,4,0,11,2,6,5,2023-09-06,"MARÍLIA","10","covid","com_atraso"
5,2023-07-12,4,1,10,3,6,2,2023-09-06,"MARÍLIA","10","covid","com_atraso"
6,2023-07-19,4,1,11,3,6,7,2023-09-06,"MARÍLIA","10","covid","com_atraso"
7,2023-07-26,4,1,11,3,6,4,2023-09-06,"MARÍLIA","10","covid","com_atraso"
8,2023-08-02,4,0,11,3,6,6,2023-09-06,"MARÍLIA","10","covid","com_atraso"
9,2023-08-09,4,0,10,2,5,6,2023-09-06,"MARÍLIA","10","covid","com_atraso"
10,2023-08-16,3,0,9,2,5,1,2023-09-06,"MARÍLIA","10","covid","com_atraso"
11,2023-08-23,2.5,0,9,1,4,2,2023-09-06,"MARÍLIA","10","covid","com_atraso"
12,2023-08-30,2,0,10,1,4,NA,2023-09-06,"MARÍLIA","10","covid","com_atraso"
1,2023-06-16,4,0,10,2,5,5,2023-09-06,"PIRACICABA","10","covid","com_atraso"
2,2023-06-23,3,0,9,2,5,2,2023-09-06,"PIRACICABA","10","covid","com_atraso"
3,2023-06-30,3,0,9,2,5,3,2023-09-06,"PIRACICABA","10","covid","com_atraso"
4,2023-07-07,3,0,9,2,5,3,2023-09-06,"PIRACICABA","10","covid","com_atraso"
5,2023-07-14,4,0,10,2,5,4,2023-09-06,"PIRACICABA","10","covid","com_atraso"
6,2023-07-21,4,0,10,3,6,4,2023-09-06,"PIRACICABA","10","covid","com_atraso"
7,2023-07-28,4,0.975000000000001,11,3,6,5,2023-09-06,"PIRACICABA","10","covid","com_atraso"
8,2023-08-04,5,1,12,3,7,4,2023-09-06,"PIRACICABA","10","covid","com_atraso"
9,2023-08-11,5,1,12,3,7,10,2023-09-06,"PIRACICABA","10","covid","com_atraso"
10,2023-08-18,4,0,11,2,6,3,2023-09-06,"PIRACICABA","10","covid","com_atraso"
11,2023-08-25,4,0,10,2,6,2,2023-09-06,"PIRACICABA","10","covid","com_atraso"
12,2023-09-01,3,0,13,1,6,NA,2023-09-06,"PIRACICABA","10","covid","com_atraso"
1,2023-06-09,1,0,6,0,3,2,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
2,2023-06-16,1,0,6,1,2,1,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
3,2023-06-23,1,0,5,1,2,1,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
4,2023-06-30,1,0,5,1,3,2,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
5,2023-07-07,2,0,6,1,3,1,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
6,2023-07-14,2,0,6,1,3,NA,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
7,2023-07-21,2,0,7,1,3,4,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
8,2023-07-28,2,0,7,1,3,3,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
9,2023-08-04,2,0,7,1,3,1,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
10,2023-08-11,2,0,8,1,4,2,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
11,2023-08-18,2,0,9,1,4,NA,2023-09-06,"PRESIDENTE PRUDENTE","10","covid","com_atraso"
1,2023-06-09,7,1,22,4,10,4,2023-09-06,"REGISTRO","10","covid","com_atraso"
2,2023-06-16,8,1,21.025,5,12,10,2023-09-06,"REGISTRO","10","covid","com_atraso"
3,2023-06-23,9,1,25.025,6,13,11,2023-09-06,"REGISTRO","10","covid","com_atraso"
4,2023-06-30,10,1,24,6,13,14,2023-09-06,"REGISTRO","10","covid","com_atraso"
5,2023-07-07,9,1,21,6,12,12,2023-09-06,"REGISTRO","10","covid","com_atraso"
