"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-07-05,9,3,17,6,11,9,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
2,2023-07-12,9,3,18,7,12,8,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
3,2023-07-19,10,4,19,8,13,9,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
4,2023-07-26,11,5,19,8,14,11,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
5,2023-08-02,12,5,21,10,15,15,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
6,2023-08-09,13,5.975,22,10,16,14,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
7,2023-08-16,13,7,23,11,16,15,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
8,2023-08-23,14,7,23,11,17,10,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
9,2023-08-30,15,7,25,12,18,18,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
10,2023-09-06,15,8,26,12,18,9,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
11,2023-09-13,16,8,26.025,13,19,24,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
12,2023-09-20,16,8,26,13,19,15,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
13,2023-09-27,16,8,27,13,19,17,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
14,2023-10-04,16,8,26,13,19,13,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
15,2023-10-11,15,7,25,13,19,21,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
16,2023-10-18,15,7,25,12,18,13,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
17,2023-10-25,14,7,24,11,17,15,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
18,2023-11-01,13,6,23,11,16,14,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
19,2023-11-08,12,5,21,10,15,13,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
20,2023-11-15,11,5,19.025,9,14,7,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
21,2023-11-22,10,4,19,8,13,13,2024-02-07,"ARAÇATUBA","30","srag","com_atraso"
