"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-10-24,5,0.975000000000001,13,3,7,6,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
2,2023-10-31,4,1,10,2,6,4,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
3,2023-11-07,3,0,9,2,5,4,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
4,2023-11-14,3,0,8,2,4,4,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
5,2023-11-21,2,0,7,1,4,1,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
6,2023-11-28,2,0,7,1,4,1,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
7,2023-12-05,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
8,2023-12-12,2,0,7,1,3,3,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
9,2023-12-19,2,0,7,1,4,2,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
10,2023-12-26,2,0,7.02499999999998,1,4,3,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
11,2024-01-02,2,0,9,1,4,3,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
12,2024-01-09,3,0,11,1,4,NA,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
13,2024-01-16,3,0,18.05,1,5,NA,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
14,2024-01-23,2,0,39.025,1,5,NA,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
15,2024-01-30,3,0,91,1,6,NA,2024-02-07,"ARAÇATUBA","8 ou 10","covid","corte 3 semanas"
1,2023-10-31,4,0,14,2,7,3,2024-02-07,"ARARAQUARA","8 ou 10","covid","corte 3 semanas"
2,2023-11-07,4,0,11,2,6,7,2024-02-07,"ARARAQUARA","8 ou 10","covid","corte 3 semanas"
