"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-06-06,2,0,7,1,3,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
2,2023-06-13,2,0,6,1,3,1,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
3,2023-06-20,2,0,6,1,3,1,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
4,2023-06-27,2,0,6,1,3,2,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
5,2023-07-04,2,0,6,1,3,2,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
6,2023-07-11,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
7,2023-07-18,2,0,8,1,4,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
8,2023-07-25,3,0,8,2,4,1,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
9,2023-08-01,3,0,9,2,5,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
10,2023-08-08,4,0,9,2,5,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
11,2023-08-15,4,1,11,3,6,7,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
12,2023-08-22,5,1,11,3,7,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
13,2023-08-29,5,1,12,4,7,10,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
14,2023-09-05,6,1,13,4,8,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
15,2023-09-12,6,2,13,4,8,9,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
16,2023-09-19,6,2,13,5,8,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
17,2023-09-26,6,2,13,4,8,6,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
18,2023-10-03,6,1,13,5,9,5,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
19,2023-10-10,6,1,13,4,8,12,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
20,2023-10-17,6,1,12,4,8,6,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
21,2023-10-24,5,1,11,4,7,6,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
22,2023-10-31,4,1,10,3,6,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
23,2023-11-07,4,0,9,2.75,6,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
24,2023-11-14,3,0,8,2,5,4,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
25,2023-11-21,3,0,8,2,5,1,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
26,2023-11-28,3,0,7,2,4,1,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
27,2023-12-05,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
28,2023-12-12,2,0,7,1,4,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
29,2023-12-19,2,0,7,1,3,2,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
30,2023-12-26,2,0,6,1,4,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
31,2024-01-02,2,0,7,1,3,3,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
32,2024-01-09,2,0,8,1,4,NA,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
33,2024-01-16,2,0,9,1,4,NA,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
34,2024-01-23,2,0,13,1,4,NA,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
35,2024-01-30,2,0,18,1,4,NA,2024-02-07,"ARAÇATUBA","30","covid","corte 3 semanas"
1,2023-06-13,2,0,8,1,4,2,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
2,2023-06-20,3,0,8,1,4,4,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
3,2023-06-27,3,0,7.02499999999998,2,4,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
4,2023-07-04,3,0,8,2,4,4,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
5,2023-07-11,3,0,8,2,4,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
6,2023-07-18,3,0,8,2,5,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
7,2023-07-25,3,0,8,2,5,2,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
8,2023-08-01,4,0,9.02499999999998,2,6,1,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
9,2023-08-08,5,1,10,3,6,6,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
10,2023-08-15,5,1,12,4,7,8,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
11,2023-08-22,6,1,12.025,4,9,6,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
12,2023-08-29,7,2,14,5,9,5,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
13,2023-09-05,8,3,16,6,11,7,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
14,2023-09-12,9,3,18,7,12,12,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
15,2023-09-19,10,4,19,8,13,11,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
16,2023-09-26,10,4,19,8,13,13,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
17,2023-10-03,10,4,19,8,13,7,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
18,2023-10-10,10,3,19,7,12,16,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
19,2023-10-17,9,3,17,6,11,10,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
20,2023-10-24,7.5,2,16,5,10,7,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
21,2023-10-31,6,2,13,5,8,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
22,2023-11-07,5,1,12,4,7,7,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
23,2023-11-14,5,1,11,3,6,4,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
24,2023-11-21,4,1,10,3,6,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
25,2023-11-28,3,0,9,2,5,1,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
26,2023-12-05,3,0,8,2,5,7,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
27,2023-12-12,3,0,8,2,4,NA,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
28,2023-12-19,3,0,7,2,4,1,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
29,2023-12-26,2,0,6,1,4,4,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
30,2024-01-02,2,0,6,1,3,3,2024-02-07,"ARARAQUARA","30","covid","corte 3 semanas"
