"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-01-07,15,6,26,12,18,17,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
2,2023-01-14,15,7,25,12,18,20,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
3,2023-01-21,15,7,26,12,19,8,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
4,2023-01-28,16,7,27,13,19,13,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
5,2023-02-04,17,9,28,14,21,18,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
6,2023-02-11,19,10,30,16,23,18,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
7,2023-02-18,21,12,34,17.75,25,17,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
8,2023-02-25,24,13.975,37.025,19,28,32,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
9,2023-03-04,26,15,39.025,22,30,24,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
10,2023-03-11,27,16,40.025,23,31,28,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
11,2023-03-18,28,17,43,24,32,27,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
12,2023-03-25,29,17,44,25,33,30,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
13,2023-04-01,29,17,44,24,33,36,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
14,2023-04-08,28,16,42,23,32,32,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
15,2023-04-15,26,15,39,22,30.25,19,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
16,2023-04-22,24,13,37,20,28,26,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
17,2023-04-29,22,13,35,19,26,24,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
18,2023-05-06,20,10.975,32,17,24,18,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
19,2023-05-13,19,10,29,15,22,19,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
20,2023-05-20,17,9,28,14,21,20,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
21,2023-05-27,16,7,26,13,19,16,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
22,2023-06-03,15,7,24,12,18,10,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
23,2023-06-10,14,6,24,11,17,8,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
24,2023-06-17,13,5.975,22,10,16,15,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
25,2023-06-24,13,6,22,10,16,20,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
26,2023-07-01,12,5,21,9,15,15,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
27,2023-07-08,11,5,20,9,14,9,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
28,2023-07-15,11,5,19,8,13,8,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
29,2023-07-22,10,4,18,8,12,8,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
30,2023-07-29,10,4,19,8,13,11,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
31,2023-08-05,10,3,20,7,13,12,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
32,2023-08-12,10,3,21,7,13,NA,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
33,2023-08-19,9,2,24,6,13,NA,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
34,2023-08-26,9,2,30,6,13,NA,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
35,2023-09-02,9,2,36.025,5,14,NA,2023-09-06,"ARAÇATUBA","30","srag","corte 3 semanas"
1,2023-01-06,13,5,25,9.75,16,17,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
2,2023-01-13,11,5,20,9,14,13,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
3,2023-01-20,11,5,19,8,13,6,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
4,2023-01-27,11,4,20,8,14,7,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
5,2023-02-03,12,5.975,21,9,15,12,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
6,2023-02-10,14,6,24,11,17,16,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
7,2023-02-17,16,8,27,13,20,17,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
8,2023-02-24,20,11,32,16,24,16,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
9,2023-03-03,24,13,36,20,28,19,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
10,2023-03-10,29,16,44,24,33,38,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
11,2023-03-17,30,18,46,26,35,36,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
12,2023-03-24,30,17,44,25,35,33,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
13,2023-03-31,27,15,42,23,32,22,2023-09-06,"ARARAQUARA","30","srag","corte 3 semanas"
