"X","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus","base"
271,2023-05-26,11,12,3,0,20.025,1,6,"Previsto","ARARAQUARA","covid",2023-05-31
39,2023-05-31,11,12,13,3,47,9,19,"Previsto","ARARAQUARA","srag",2023-05-31
271,2023-06-06,11,12,2,0,15.025,1,5,"Previsto","ARARAQUARA","covid",2023-06-06
39,2023-06-06,11,12,12,3,36,7,17,"Previsto","ARARAQUARA","srag",2023-06-06
271,2023-06-07,11,12,2,0,16,1,4,"Previsto","ARARAQUARA","covid",2023-06-14
39,2023-06-14,11,12,8,2,24.025,5,12,"Previsto","ARARAQUARA","srag",2023-06-14
271,2023-06-07,11,12,2,0,14,1,4,"Previsto","ARARAQUARA","covid",2023-06-20
39,2023-06-20,11,12,19,4,71.025,12,27,"Previsto","ARARAQUARA","srag",2023-06-20
271,2023-07-04,11,12,3,0,147.15,1,8,"Previsto","ARARAQUARA","covid",2023-07-06
39,2023-07-05,11,12,10,1,39,6,16,"Previsto","ARARAQUARA","srag",2023-07-06
271,2023-07-15,11,12,3,0,22,1,6,"Previsto","ARARAQUARA","covid",2023-07-19
39,2023-07-19,11,12,7,0,24.025,4,12,"Previsto","ARARAQUARA","srag",2023-07-19
271,2023-07-22,11,12,5,0,61.025,2,11,"Previsto","ARARAQUARA","covid",2023-07-25
39,2023-07-25,11,12,12,3,36.025,8,18,"Previsto","ARARAQUARA","srag",2023-07-25
271,2023-07-28,11,12,4,0,21.025,2,7,"Previsto","ARARAQUARA","covid",2023-08-02
39,2023-08-01,11,12,9,2,28,6,13,"Previsto","ARARAQUARA","srag",2023-08-02
271,2023-08-05,11,12,3,0,16,1,6,"Previsto","ARARAQUARA","covid",2023-08-08
39,2023-08-08,11,12,10,2,30.025,6,15,"Previsto","ARARAQUARA","srag",2023-08-08
270,2023-08-15,11,12,3,0,15,1,6,"Previsto","ARARAQUARA","covid",2023-08-16
