"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-10-04,11,2,1253,1249,1261,1251,1256,"Estimado","ESTADO","srag"
"3",2023-10-11,11,3,1365,1358,1377,1362.75,1369,"Estimado","ESTADO","srag"
"4",2023-10-18,11,4,1470,1460,1483,1466,1474,"Estimado","ESTADO","srag"
"5",2023-10-25,11,5,1282,1270,1298.025,1278,1288,"Estimado","ESTADO","srag"
"6",2023-11-01,11,6,1200,1183,1221,1194,1206,"Estimado","ESTADO","srag"
"7",2023-11-08,11,7,1112,1090,1138.025,1104,1120,"Estimado","ESTADO","srag"
"8",2023-11-15,11,8,907,880,940.025,898,917,"Estimado","ESTADO","srag"
"9",2023-11-22,11,9,785,749,831.025,772,800,"Estimado","ESTADO","srag"
"10",2023-11-29,11,10,715,652.975,791,690,739,"Estimado","ESTADO","srag"
"11",2023-12-06,11,11,559,426.975,742,509,611.25,"Estimado","ESTADO","srag"
"12",2023-12-06,11,11,559,426.975,742,509,611.25,"Previsto","ESTADO","srag"
"13",2023-12-13,11,12,474,282,783.075,399.75,554,"Previsto","ESTADO","srag"
"14",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"15",2023-10-04,11,2,19,19,20,19,19,"Estimado","ARAÇATUBA","srag"
"16",2023-10-11,11,3,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"17",2023-10-18,11,4,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"18",2023-10-25,11,5,13,13,15,13,13,"Estimado","ARAÇATUBA","srag"
"19",2023-11-01,11,6,16,16,19,16,16,"Estimado","ARAÇATUBA","srag"
"20",2023-11-08,11,7,16,16,18,16,16,"Estimado","ARAÇATUBA","srag"
"21",2023-11-15,11,8,8,8,10,8,8,"Estimado","ARAÇATUBA","srag"
"22",2023-11-22,11,9,10,10,12,10,10,"Estimado","ARAÇATUBA","srag"
"23",2023-11-29,11,10,6,6,8,6,7,"Estimado","ARAÇATUBA","srag"
"24",2023-12-06,11,11,3,2,7,3,4,"Estimado","ARAÇATUBA","srag"
"25",2023-12-06,11,11,3,2,7,3,4,"Previsto","ARAÇATUBA","srag"
"26",2023-12-13,11,12,4,0,12,2,6,"Previsto","ARAÇATUBA","srag"
"27",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
"28",2023-10-04,11,2,8,8,9,8,8,"Estimado","ARARAQUARA","srag"
"29",2023-10-11,11,3,17,17,18,17,17,"Estimado","ARARAQUARA","srag"
"30",2023-10-18,11,4,13,13,14,13,13,"Estimado","ARARAQUARA","srag"
"31",2023-10-25,11,5,9,9,10,9,9,"Estimado","ARARAQUARA","srag"
"32",2023-11-01,11,6,5,5,6,5,5,"Estimado","ARARAQUARA","srag"
"33",2023-11-08,11,7,6,6,7,6,6,"Estimado","ARARAQUARA","srag"
"34",2023-11-15,11,8,3,3,5,3,3,"Estimado","ARARAQUARA","srag"
"35",2023-11-22,11,9,4,4,6,4,5,"Estimado","ARARAQUARA","srag"
"36",2023-11-29,11,10,2,2,4,2,3,"Estimado","ARARAQUARA","srag"
"37",2023-12-06,11,11,2,1,7,1,3,"Estimado","ARARAQUARA","srag"
"38",2023-12-06,11,11,2,1,7,1,3,"Previsto","ARARAQUARA","srag"
"39",2023-12-13,11,12,2,0,10,1,3,"Previsto","ARARAQUARA","srag"
"40",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","BAIXADA SANTISTA","srag"
"41",2023-10-04,11,2,70,70,72,70,70,"Estimado","BAIXADA SANTISTA","srag"
"42",2023-10-11,11,3,63,63,66,63,64,"Estimado","BAIXADA SANTISTA","srag"
"43",2023-10-18,11,4,56,55,59,55,56,"Estimado","BAIXADA SANTISTA","srag"
"44",2023-10-25,11,5,51,50,55,50,52,"Estimado","BAIXADA SANTISTA","srag"
"45",2023-11-01,11,6,43,41,48,42,45,"Estimado","BAIXADA SANTISTA","srag"
"46",2023-11-08,11,7,42,39,48,40,44,"Estimado","BAIXADA SANTISTA","srag"
"47",2023-11-15,11,8,39,34,46,37,41,"Estimado","BAIXADA SANTISTA","srag"
"48",2023-11-22,11,9,40,34,49,38,42,"Estimado","BAIXADA SANTISTA","srag"
"49",2023-11-29,11,10,41,31,55,37,45,"Estimado","BAIXADA SANTISTA","srag"
"50",2023-12-06,11,11,40,22,76,33,50,"Estimado","BAIXADA SANTISTA","srag"
"51",2023-12-06,11,11,40,22,76,33,50,"Previsto","BAIXADA SANTISTA","srag"
"52",2023-12-13,11,12,38,16,103.05,28,52,"Previsto","BAIXADA SANTISTA","srag"
"53",2023-09-08,11,NA,NA,NA,NA,NA,NA,"Estimado","BARRETOS","srag"
"54",2023-09-15,11,2,2,2,4,2,2,"Estimado","BARRETOS","srag"
"55",2023-09-22,11,3,8,8,11,8,8,"Estimado","BARRETOS","srag"
"56",2023-09-29,11,4,3,3,8,3,4,"Estimado","BARRETOS","srag"
"57",2023-10-06,11,5,6,6,11,6,7,"Estimado","BARRETOS","srag"
"58",2023-10-13,11,6,1,1,7,1,3,"Estimado","BARRETOS","srag"
"59",2023-10-20,11,7,10,9,20,9,12,"Estimado","BARRETOS","srag"
"60",2023-10-27,11,8,4,3,14,3,6,"Estimado","BARRETOS","srag"
"61",2023-11-03,11,9,3,2,14,2,5,"Estimado","BARRETOS","srag"
"62",2023-11-10,11,10,1.5,0,14,0,4,"Estimado","BARRETOS","srag"
"63",2023-11-17,11,11,2,0,21,0,5,"Estimado","BARRETOS","srag"
"64",2023-11-17,11,11,2,0,21,0,5,"Previsto","BARRETOS","srag"
"65",2023-11-24,11,12,2,0,33.05,0,6,"Previsto","BARRETOS","srag"
"66",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","BAURU","srag"
"67",2023-10-04,11,2,41,41,43,41,41,"Estimado","BAURU","srag"
"68",2023-10-11,11,3,44,44,48,44,45,"Estimado","BAURU","srag"
"69",2023-10-18,11,4,62,62,66,62,63,"Estimado","BAURU","srag"
"70",2023-10-25,11,5,40,39,43,39,40,"Estimado","BAURU","srag"
"71",2023-11-01,11,6,44,43,48,43,45,"Estimado","BAURU","srag"
"72",2023-11-08,11,7,40,39,44,39,41,"Estimado","BAURU","srag"
"73",2023-11-15,11,8,35,34,39,35,36,"Estimado","BAURU","srag"
"74",2023-11-22,11,9,22,20,26,21,23,"Estimado","BAURU","srag"
"75",2023-11-29,11,10,22,18,27,20,23,"Estimado","BAURU","srag"
"76",2023-12-06,11,11,15,7,28,12,19,"Estimado","BAURU","srag"
"77",2023-12-06,11,11,15,7,28,12,19,"Previsto","BAURU","srag"
"78",2023-12-13,11,12,13,3,34,9,18,"Previsto","BAURU","srag"
"79",2023-09-27,11,NA,NA,NA,NA,NA,NA,"Estimado","CAMPINAS","srag"
"80",2023-10-04,11,2,152,152,154,152,152,"Estimado","CAMPINAS","srag"
"81",2023-10-11,11,3,143,143,146,143,144,"Estimado","CAMPINAS","srag"
"82",2023-10-18,11,4,166,165,169,165,166,"Estimado","CAMPINAS","srag"
"83",2023-10-25,11,5,150,149,154,149,151,"Estimado","CAMPINAS","srag"
"84",2023-11-01,11,6,138,136,142,137,139,"Estimado","CAMPINAS","srag"
"85",2023-11-08,11,7,140,136,145,138,141,"Estimado","CAMPINAS","srag"
"86",2023-11-15,11,8,111,108,116,110,113,"Estimado","CAMPINAS","srag"
"87",2023-11-22,11,9,77,73,84,76,79,"Estimado","CAMPINAS","srag"
"88",2023-11-29,11,10,65,58,73,62,67,"Estimado","CAMPINAS","srag"
"89",2023-12-06,11,11,50,34,72,44,56,"Estimado","CAMPINAS","srag"
"90",2023-12-06,11,11,50,34,72,44,56,"Previsto","CAMPINAS","srag"
"91",2023-12-13,11,12,40,18,81,30.75,50.25,"Previsto","CAMPINAS","srag"
"92",2023-09-12,11,NA,NA,NA,NA,NA,NA,"Estimado","FRANCA","srag"
"93",2023-09-19,11,2,7,7,8.02499999999998,7,7,"Estimado","FRANCA","srag"
"94",2023-09-26,11,3,8,8,10,8,8,"Estimado","FRANCA","srag"
"95",2023-10-03,11,4,12,12,15,12,12,"Estimado","FRANCA","srag"
"96",2023-10-10,11,5,16,16,19,16,16,"Estimado","FRANCA","srag"
