"","dt_event","n","Time","Median","LI","LS","LIb","LSb","projecao","DRS","virus"
"1",2023-08-17,935,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"2",2023-08-24,935,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"3",2023-08-31,937,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"4",2023-09-07,1015,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"5",2023-09-14,1088,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"6",2023-09-21,1082,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"7",2023-09-28,1256,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"8",2023-10-05,1299,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"9",2023-10-12,1457,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"10",2023-10-19,1434,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"11",2023-10-26,1209,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"12",2023-11-02,1123,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"13",2023-11-09,1005,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"14",2023-11-16,835,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"15",2023-11-23,720,NA,NA,NA,NA,NA,NA,"Estimado","ESTADO","srag"
"16",2023-11-30,713,2,713,711,719,712,715,"Estimado","ESTADO","srag"
"17",2023-12-07,712,3,718,713,725,716,720,"Estimado","ESTADO","srag"
"18",2023-12-14,541,4,550,544,559,548,553,"Estimado","ESTADO","srag"
"19",2023-12-21,487,5,500,493,510,497,503,"Estimado","ESTADO","srag"
"20",2023-12-28,558,6,575,566,585,571,578,"Estimado","ESTADO","srag"
"21",2024-01-04,438,7,466,454.975,481,462,470,"Estimado","ESTADO","srag"
"22",2024-01-11,441,8,480,465,500,474,487,"Estimado","ESTADO","srag"
"23",2024-01-18,494,9,577,553,605.025,568,587,"Estimado","ESTADO","srag"
"24",2024-01-25,514,10,695,642.975,758,677,714,"Estimado","ESTADO","srag"
"25",2024-02-01,337,11,745,600,959,690.75,808,"Estimado","ESTADO","srag"
"26",2024-02-01,337,11,745,600,959,690.75,808,"Previsto","ESTADO","srag"
"27",2024-02-08,NA,12,823,563.95,1273.2,720.75,964,"Previsto","ESTADO","srag"
"28",2023-08-24,10,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"29",2023-08-31,18,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"30",2023-09-07,9,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"31",2023-09-14,24,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"32",2023-09-21,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"33",2023-09-28,17,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"34",2023-10-05,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"35",2023-10-12,21,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"36",2023-10-19,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"37",2023-10-26,15,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"38",2023-11-02,14,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"39",2023-11-09,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"40",2023-11-16,7,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"41",2023-11-23,13,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"42",2023-11-30,8,NA,NA,NA,NA,NA,NA,"Estimado","ARAÇATUBA","srag"
"43",2023-12-07,11,2,11,11,12,11,11,"Estimado","ARAÇATUBA","srag"
"44",2023-12-14,9,3,9,9,11,9,9,"Estimado","ARAÇATUBA","srag"
"45",2023-12-21,4,4,4,4,6,4,4,"Estimado","ARAÇATUBA","srag"
"46",2023-12-28,5,5,5,5,7,5,5,"Estimado","ARAÇATUBA","srag"
"47",2024-01-04,6,6,6,6,9,6,6,"Estimado","ARAÇATUBA","srag"
"48",2024-01-11,4,7,4,4,6,4,5,"Estimado","ARAÇATUBA","srag"
"49",2024-01-18,9,8,9,9,12,9,10,"Estimado","ARAÇATUBA","srag"
"50",2024-01-25,8,9,9,8,12,8,9,"Estimado","ARAÇATUBA","srag"
"51",2024-02-01,11,10,12,11,17,11,13,"Estimado","ARAÇATUBA","srag"
"52",2024-02-08,1,11,7,2,19,5,10,"Estimado","ARAÇATUBA","srag"
"53",2024-02-08,1,11,7,2,19,5,10,"Previsto","ARAÇATUBA","srag"
"54",2024-02-15,NA,12,9,1,33.025,6,14,"Previsto","ARAÇATUBA","srag"
"55",2023-08-17,11,NA,NA,NA,NA,NA,NA,"Estimado","ARARAQUARA","srag"
